tau
0.0177466645
0.0165121606
0.0154813746
0.0214497962
0.0198164630
0.0206727441
0.0225607179
0.0174222213
0.0164086567
0.0192589619
0.0181766728
0.0236448075
0.0206595390
0.0196865244
0.0186435672
0.0159798665
0.0181801132
0.0200934049
0.0199366007
0.0234595901
0.0200481442
0.0176564201
0.0166627524
0.0170050878
0.0233235839
0.0212009197
0.0220885598
0.0216787810
0.0171752071
0.0169299239
0.0210853178
0.0185202788
0.0239019617
0.0208338126
0.0191133699
0.0175640288
0.0160972819
0.0204367929
0.0211449796
0.0205079144
0.0235894665
0.0190421638
0.0182355438
0.0193235025
0.0183137524
0.0243822796
0.0220842588
0.0212953493
0.0206250486
0.0168271946
0.0184220252
0.0216949612
0.0196651141
0.0242632042
0.0206443023
0.0192662652
0.0168567956
0.0174202645
0.0227316174
0.0227233136
0.0221110056
0.0238603273
0.0184545143
0.0178250341
0.0216036498
0.0187514117
0.0245725368
0.0220582020
0.0206935699
0.0192083963
0.0170802846
0.0197207307
0.0220855995
0.0206420084
0.0242991885
0.0203418953
0.0209049182
0.0185362478
0.0194526138
0.0246127804
0.0241390286
0.0231533080
0.0232525101
0.0187854370
0.0184116543
0.0242930545
0.0204597846
0.0251175039
0.0219915629
0.0206051104
0.0183579239
0.0180479273
0.0217838718
0.0226953527
0.0214658492
0.0246328218
0.0202000887
0.0212688187
0.0216403845
0.0198764560
0.0253604954
0.0229509942
0.0230661889
0.0219611410
0.0188626440
0.0190807006
0.0247007017
0.0211904181
0.0254641021
0.0216865207
0.0219263278
0.0186073217
0.0197429809
0.0246050120
0.0244522156
0.0231503785
0.0257352445
0.0204410511
0.0192379560
0.0245069256
0.0208920959
0.0259203927
0.0231163315
0.0227549554
0.0209873228
0.0198744151
0.0214937527
0.0249929873
0.0222909841
0.0261674992
0.0226887403
0.0242299358
0.0205397613
0.0210319876
0.0264577193
0.0248262952
0.0251097801
0.0246417946
0.0209768426
0.0190428602
0.0266561928
0.0221169235
0.0259601653
0.0232691872
0.0241075479
0.0194263338
0.0218199199
0.0244006826
0.0260910819
0.0237180399
0.0273861674
0.0231508639
0.0225395349
0.0235982223
0.0224452613
0.0270977291
0.0245206458
0.0245375004
0.0238107146
0.0225809973
0.0207557513
0.0266009217
0.0230164146
0.0265545381
0.0241395112
0.0266397312
0.0196437885
0.0231830409
0.0261023502
0.0269772541
0.0262645353
0.0275867210
0.0237680456
0.0194490672
0.0277664952
0.0237024850
0.0271627776
0.0250156983
0.0251316753
0.0209257201
0.0236639043
0.0238056481
0.0271291824
0.0241275911
0.0283935925
0.0246913306
0.0272072171
0.0208118730
0.0247575394
0.0278511626
0.0257909194
0.0271721759
0.0258786433
0.0252832446
0.0200194404
0.0289941080
0.0246254046
0.0273515837
0.0256340596
0.0277860543
0.0193115465
0.0247098627
0.0265692511
0.0279453836
0.0262360500
0.0292167398
0.0265640250
0.0222734750
0.0259756671
0.0252963096
0.0278605398
0.0259725799
0.0279007442
0.0241413917
0.0260467861
0.0222527125
0.0292578445
0.0259478209
0.0291694982
0.0264605457
0.0299437421
0.0198163596
0.0257046359
0.0283236738
0.0268888860
0.0288127649
0.0304738578
0.0273061900
0.0198871283
0.0298059790
0.0263892248
0.0279762476
0.0273075907
0.0289174813
0.0211701234
0.0268541586
0.0269508418
0.0294602116
0.0262658603
0.0299028392
0.0281544438
0.0279574520
0.0222693342
0.0274365610
0.0288075956
0.0274707367
0.0299592305
0.0287856833
0.0284816814
0.0208286177
0.0310480962
0.0272575527
0.0289558833
0.0293338932
0.0309658305
0.0198224804
0.0277844129
0.0292954963
0.0291160083
0.0279763144
0.0314171321
0.0285590835
0.0220027472
0.0284339756
0.0292179888
0.0287685957
0.0294398974
0.0303322732
0.0247031842
0.0297436810
0.0241687957
0.0306945432
0.0274305015
0.0303835995
0.0301313311
0.0316911347
0.0204155569
0.0286504424
0.0302044433
0.0284322441
0.0306401457
0.0311661638
0.0301749420
0.0209430565
0.0320253705
0.0294785602
0.0292279848
0.0309952964
0.0318869824
0.0211433930
0.0306076229
0.0289844146
0.0308688831
0.0278378285
0.0313193176
0.0302078180
0.0267063653
0.0251574213
0.0306118909
0.0293581545
0.0305756154
0.0322514995
0.0277087750
0.0313076714
0.0222782300
0.0328073858
0.0295080144
0.0304901526
0.0321905797
0.0334735912
0.0201335166
0.0291514568
0.0307329610
0.0295852086
0.0305218844
0.0325624920
0.0309591027
0.0213039924
0.0309682045
0.0317434765
0.0292666885
0.0322565568
0.0332184484
0.0242271964
0.0326347087
0.0276283848
0.0324141769
0.0286212140
0.0311455507
0.0327603098
0.0312075804
0.0211201712
0.0313969459
0.0307214288
0.0301509520
0.0333963165
0.0310291857
0.0330065115
0.0213838475
0.0343127247
0.0312406551
0.0305331201
0.0339148689
0.0352106001
0.0210260835
0.0312958578
0.0313767115
0.0310409528
0.0292620658
0.0319978220
0.0319643748
0.0238172937
0.0281163393
0.0332027865
0.0295791575
0.0327650081
0.0350379307
0.0281305613
0.0344123885
0.0243044544
0.0342372274
0.0303165379
0.0313464546
0.0349485217
0.0352149311
0.0205396349
0.0316424336
0.0315677968
0.0301865246
0.0321688198
0.0324904771
0.0338448553
0.0207154280
0.0341748818
0.0341440976
0.0299333577
0.0348444269
0.0364939111
0.0245345166
0.0342668946
0.0306178262
0.0334936455
0.0292989565
0.0318895771
0.0343179702
0.0295086715
0.0231143777
0.0340823568
0.0311371656
0.0323721596
0.0360490553
0.0310786052
0.0354024221
0.0224794269
0.0363982038
0.0329311138
0.0307739405
0.0359527555
0.0368545978
0.0213741302
0.0319934127
0.0326457454
0.0313741580
0.0307439535
