frame,norm
0,0.00439453
1,7.7251
2,22.6733
3,43.354
4,1.37256
5,15.2051
6,19.2368
7,31.3696
8,0.914062
9,1.65771
10,1.38525
11,0.547852
12,0.136719
13,1.71484
14,0.161133
15,1.75684
16,0.272949
17,0.849609
18,1.56543
19,0.218262
20,0.352051
21,0.812988
22,11.106
23,7.50391
24,0.0585938
25,0.157715
26,0.0126953
27,0.111328
28,2.1709
29,0.0322266
30,0.00439453
