pixel,elem,real,imag
3,2,0.0568218218,0.0272315964
3,3,0.0629829086,-0.0018379422
3,4,0.0607745025,-0.0166383476
3,5,0.0463911829,-0.0426404257
3,6,-0.0223553121,-0.0589114325
3,7,-0.0630002276,-0.0011294524
3,8,-0.0407337837,0.0480733383
3,9,-0.0583667964,0.0237392479
3,10,-0.0627238140,-0.0059949298
3,11,-0.0604161942,-0.0178922189
3,12,-0.0584156471,-0.0236192120
3,13,-0.0528138792,-0.0343658138
3,14,-0.0308911438,-0.0549193171
3,15,-0.0019416390,-0.0629806917
3,16,-0.0493788655,-0.0391410280
3,17,-0.0607652195,-0.0166681013
3,18,-0.0624374943,0.0084690070
3,19,-0.0602724005,0.0183690978
3,20,-0.0585998132,0.0231567624
3,21,-0.0541298288,0.0322519043
3,22,-0.0371690000,0.0508790938
3,23,-0.0142672094,0.0613731769
3,24,0.0599788698,0.0193101537
3,25,0.0560007505,-0.0288833456
3,26,0.0190388887,-0.0600651098
3,27,-0.0005113638,-0.0630079381
3,28,-0.0103899921,-0.0621475359
3,29,-0.0291367949,-0.0558690407
3,30,-0.0601513539,-0.0187668343
3,31,-0.0557369771,0.0293889427
3,32,-0.0604219683,-0.0178762782
3,33,-0.0575088415,0.0257494920
3,34,-0.0269063909,0.0569757528
3,35,-0.0098983105,0.0622274224
3,36,-0.0010093190,0.0630015970
3,37,0.0166506803,0.0607699209
3,38,0.0521908756,0.0353044799
3,39,0.0626023570,-0.0071595988
3,40,0.0513905670,-0.0364588941
3,41,0.0599876135,-0.0192782889
3,42,0.0630081956,-0.0003051098
3,43,0.0625740405,0.0073924499
3,44,0.0620046813,0.0112069893
3,45,0.0601720079,0.0186957882
3,46,0.0517418144,0.0359587571
3,47,0.0385010152,0.0498786500
4,0,-0.0460400317,-0.0430149100
4,1,-0.0576094538,-0.0255090269
4,2,-0.0627908589,-0.0051756537
4,3,-0.0629206120,0.0032485360
4,4,-0.0625733979,0.0074442110
4,5,-0.0610178055,0.0157266511
4,6,-0.0524640036,0.0348922483
4,7,-0.0381009634,0.0501849258
4,8,0.0428208112,0.0462337507
4,9,0.0629647813,0.0025918889
4,10,0.0464710108,-0.0425586638
4,11,0.0311038685,-0.0548010419
4,12,0.0221789937,-0.0589796247
4,13,0.0029351758,-0.0629439817
4,14,-0.0423050751,-0.0467023557
4,15,-0.0629305641,-0.0032864263
4,16,-0.0626280976,-0.0069304603
4,17,-0.0466380344,0.0423617710
4,18,0.0008958257,0.0629982235
4,19,0.0217969024,0.0591159487
4,20,0.0314580691,0.0545913976
4,21,0.0478236059,0.0410234778
4,22,0.0624046341,-0.0087009490
4,23,0.0347782436,-0.0525412020
4,24,0.0104476026,-0.0621368136
4,25,0.0395994246,-0.0490103115
4,26,0.0585561228,-0.0232676238
4,27,0.0620686115,-0.0108476596
4,28,0.0628533461,-0.0044340200
4,29,0.0624376510,0.0084663929
4,30,0.0502449660,0.0380205341
4,31,0.0251160127,0.0577864792
4,32,-0.0613975320,0.0141754195
4,33,-0.0141629318,0.0613993310
4,34,0.0489795207,0.0396407543
4,35,0.0612972598,0.0145810637
4,36,0.0630038286,0.0006354871
4,37,0.0570882287,-0.0266539553
4,38,0.0010502243,-0.0629967844
4,39,-0.0561714312,-0.0285547407
4,40,-0.0523927073,0.0350115783
4,41,-0.0598242734,0.0197914976
4,42,-0.0629332433,0.0031380345
4,43,-0.0629059913,-0.0036564746
4,44,-0.0626176814,-0.0070426160
4,45,-0.0614970726,-0.0137427219
4,46,-0.0556197421,-0.0296296347
4,47,-0.0457221012,-0.0433714134
5,0,-0.0629029192,0.0036808602
5,1,-0.0320200012,0.0542689053
5,2,0.0271927612,0.0568396691
5,3,0.0468326932,0.0421518043
5,4,0.0541466908,0.0322287269
5,5,0.0623485007,0.0091172749
5,6,0.0423317431,-0.0466700462
5,7,-0.0151376470,-0.0611652230
5,8,-0.0369010190,-0.0510749252
5,9,0.0029712269,-0.0629397923
5,10,0.0415498046,-0.0473697007
5,11,0.0526501600,-0.0346160966
5,12,0.0568189248,-0.0272399514
5,13,0.0620176406,-0.0111513325
5,14,0.0554516921,0.0299273808
5,15,0.0247151904,0.0579603779
5,16,-0.0627041655,0.0062043724
5,17,-0.0280135165,0.0564402924
5,18,0.0329749781,0.0536937170
5,19,0.0514480169,0.0363792501
5,20,0.0577082145,0.0253009469
5,21,0.0630086093,0.0005433027
5,22,0.0338948471,-0.0531168650
5,23,-0.0270368371,-0.0569140427
